V1,V2
X,1084472.0
Y,976419.0
X,1219294.0
Y,1031930.0
Y,897588.0
Y,1007129.0
Y,978839.0
X,1026830.0
X,988359.0
X,1241405.0
X,1017260.0
Y,923338.0
X,1019691.0
X,1217744.0
X,961099.0
X,1049981.0
X,999940.0
Y,1134733.0
X,947489.0
Y,1023990.0
X,1085341.0
Y,884178.0
X,1030130.0
X,1032440.0
X,1002810.0
X,1111132.0
Y,1008420.0
X,937358.0
X,939168.0
X,1070471.0
Y,1178324.0
X,983009.0
Y,1008630.0
X,993970.0
Y,918548.0
Y,1174184.0
X,1385517.0
Y,1006440.0
Y,876067.0
X,969409.0
X,1224914.0
Y,973259.0
X,1167063.0
Y,1102811.0
X,1077892.0
Y,936359.0
X,1067302.0
X,1043821.0
X,885398.0
X,1020280.0
Y,1015240.0
X,1021970.0
X,889507.0
X,988559.0
Y,1046481.0
Y,923268.0
Y,1007500.0
X,1232214.0
Y,985880.0
Y,972710.0
Y,990180.0
Y,1060781.0
X,884927.0
X,1070251.0
Y,984099.0
Y,1030830.0
Y,1192494.0
X,952438.0
Y,1018390.0
Y,998330.0
Y,1050651.0
X,1069971.0
Y,935588.0
X,1179443.0
Y,1206054.0
Y,926749.0
Y,1021301.0
X,1054671.0
X,898268.0
X,918708.0
X,1218084.0
Y,1008830.0
X,909088.0
Y,1323946.0
X,1010570.0
Y,976889.0
Y,1033940.0
X,1250995.0
X,994929.0
X,917847.0
X,986299.0
X,963289.0
Y,980929.0
X,1075622.0
Y,1308085.0
X,1015460.0
Y,1025220.0
X,1017770.0
Y,1205624.0
X,924899.0
X,1062871.0
X,1004120.0
Y,918948.0
Y,1034601.0
Y,1109412.0
Y,1000229.0
Y,952629.0
X,1212484.0
X,1075251.0
X,915518.0
Y,1032790.0
X,999640.0
X,996050.0
X,932919.0
Y,1198354.0
X,1035130.0
Y,952379.0
Y,1003090.0
Y,947498.0
Y,955749.0
Y,987079.0
Y,942289.0
Y,1183473.0
X,921659.0
X,1010340.0
X,949098.0
Y,966730.0
X,969589.0
X,1092942.0
Y,960409.0
Y,1392058.0
X,993699.0
Y,1030790.0
Y,900158.0
X,947879.0
X,1173703.0
Y,988619.0
Y,983179.0
Y,1107102.0
Y,1040330.0
Y,901318.0
Y,1080071.0
Y,992350.0
X,927319.0
X,1040350.0
X,1095082.0
X,1035941.0
Y,894927.0
Y,1104892.0
Y,1046251.0
X,905458.0
X,928749.0
Y,1086251.0
X,916818.0
Y,912448.0
Y,1018290.0
X,1123272.0
X,984280.0
X,1056781.0
Y,1386918.0
Y,929538.0
X,954779.0
X,933858.0
Y,991279.0
X,952419.0
Y,1012290.0
Y,1288896.0
X,1022681.0
Y,971019.0
Y,1012680.0
Y,1035360.0
Y,896768.0
Y,1258355.0
Y,897888.0
X,989019.0
X,1010730.0
Y,1036430.0
Y,1422708.0
X,925809.0
Y,1023971.0
X,1025460.0
Y,908608.0
X,921919.0
Y,1199603.0
X,1021900.0
Y,1010240.0
Y,1045220.0
Y,993859.0
X,1035190.0
X,943828.0
Y,1152022.0
X,1251565.0
X,1136783.0
X,1022350.0
X,1030561.0
Y,1133883.0
Y,935238.0
Y,901448.0
X,934838.0
Y,1014360.0
Y,1059470.0
Y,1149362.0
Y,993199.0
X,1211404.0
Y,935459.0
X,936148.0
X,991430.0
X,1061761.0
Y,916678.0
Y,1166473.0
Y,1080641.0
Y,1044281.0
Y,932238.0
X,1058310.0
X,1571751.0
X,1077821.0
X,1271585.0
X,909158.0
Y,853767.0
Y,949829.0
X,1047191.0
X,951878.0
Y,1000480.0
X,1182214.0
Y,869488.0
Y,858927.0
X,1007850.0
Y,997660.0
X,1049751.0
Y,869217.0
Y,990880.0
X,1048660.0
X,866446.0
